File Name,Graph vs SDont,Graph vs OWLGrEd,Graph vs WebVOWL,,,,,,,,sdont,,,owlgred,,,webvowl,,
SimpleOrAggregated.txt,4,0,6,0,6,10,0,7,10,,1,0.4,0.571428571,0,0,0,0,0,0
situation.txt,2,0,1,3,0,0,0,2,3,,1,0.666666667,0.8,1,1,1,0,0,0
speciesbathymetry.txt,2,4,7,1,1,8,0,7,9,,0.333333333,0.222222222,0.266666667,0.5,0.111111111,0.181818182,0,0,0
speciesconditions.txt,8,5,14,4,0,18,0,10,22,,0.615384615,0.363636364,0.457142857,1,0.181818182,0.307692308,0,0,0
speciesconservation.txt,0,1,1,0,1,1,0,1,1,,0,0,0,0,0,0,0,0,0
specieseat.txt,4,0,1,0,2,5,0,3,5,,1,0.8,0.888888889,0,0,0,0,0,0
specieshabitat.txt,5,3,14,1,1,18,3,9,16,,0.625,0.263157895,0.37037037,0.5,0.052631579,0.095238095,0.25,0.157894737,0.193548387
speciesnames.txt,0,3,1,0,3,1,0,2,1,,0,0,0,0,0,0,0,0,0
tagging.txt,11,7,19,3,3,27,5,30,25,,0.611111111,0.366666667,0.458333333,0.5,0.1,0.166666667,0.142857143,0.166666667,0.153846154
taskexecution.txt,3,2,14,2,0,15,1,14,16,,0.6,0.176470588,0.272727273,1,0.117647059,0.210526316,0.066666667,0.058823529,0.0625
timeindexedparticipation.txt,5,4,12,2,3,15,0,12,17,,0.555555556,0.294117647,0.384615385,0.4,0.117647059,0.181818182,0,0,0
timeindexedpartof.txt,6,3,11,4,1,13,3,3,14,,0.666666667,0.352941176,0.461538462,0.8,0.235294118,0.363636364,0.5,0.176470588,0.260869565
timeindexedpersonrole.txt,2,1,5,0,5,7,1,1,6,,0.666666667,0.285714286,0.4,0,0,0,0.5,0.142857143,0.222222222
timeindexedsituation.txt,5,1,5,2,1,8,0,7,10,,0.833333333,0.5,0.625,0.666666667,0.2,0.307692308,0,0,0
timeinterval.txt,0,2,1,0,3,1,0,2,1,,0,0,0,0,0,0,0,0,0
topic.txt,9,0,7,7,0,9,0,11,16,,1,0.5625,0.72,1,0.4375,0.608695652,0,0,0
trajectory.txt,2,10,36,2,10,36,5,14,33,,0.166666667,0.052631579,0.08,0.166666667,0.052631579,0.08,0.263157895,0.131578947,0.175438596
transition.txt,11,7,28,0,4,39,2,25,37,,0.611111111,0.282051282,0.385964912,0,0,0,0.074074074,0.051282051,0.060606061
typesofentities.txt,4,0,2,4,1,2,4,1,2,,1,0.666666667,0.8,0.8,0.666666667,0.727272727,0.8,0.666666667,0.727272727
vesselspecies.txt,3,0,2,0,4,5,0,2,5,,1,0.6,0.75,0,0,0,0,0,0
vesselwaterarea.txt,2,0,2,1,0,3,0,2,4,,1,0.5,0.666666667,1,0.25,0.4,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.464600256,,,0.268590855,,,0.163324542
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,T-TEST,sd:og,sd:wv,og:wv,,,,,,,,
,,,,,,,,,6.95507E-08,2.18844E-12,0.007994424,,,,,,,,
